variant,verify,artifacts_size
P-256,138.99610269384573,124197.3468696092
P-256,138.14990151742487,123341.21301927937
P-256,131.90271980219444,117758.01962753017
P-256,139.08615327007513,124274.06902133516
P-256,138.0576721066266,123314.57492641716
P-256,132.94394484142293,118829.13401342179
P-256,135.26558450157057,120782.93243118319
P-256,139.34951314200273,124463.08087534826
P-256,135.99627436509095,121419.77825243153
P-256,139.3250762128687,124310.65691654316
P-256,138.3572954692708,123531.62147501932
P-256,137.9354263541407,123159.73762355253
P-256,131.79357043454485,117699.16251461596
P-256,136.83909369131155,122204.07313570511
P-256,139.61623073309545,124716.1716151983
P-256,135.36007677556623,120949.04081138225
P-256,138.97705841225286,124171.19530237826
P-256,140.0747859362498,125074.20554073936
P-256,137.2639517317059,122660.31953800154
P-256,140.60870190705563,125504.17996031318
P-256,138.55422580142462,123812.1579740575
P-256,141.92344560452028,126726.2101337531
P-256,131.308625676223,117230.46017070454
P-256,138.05981842442844,123288.02168346095
P-256,136.10326225282927,121591.84280921215
P-256,138.63586695462757,123930.98371516464
P-256,137.9313411808012,123284.111706048
P-256,137.4403519683549,122704.56785382412
P-256,137.83586258608733,123131.31055887646
P-256,140.49270154924267,125494.18316945278
P-256,136.54936005294311,122044.46868124006
P-256,137.97767043447547,123252.43216492665
P-256,139.969593380372,125044.77006284035
P-256,136.45213220233765,121803.3337104961
P-256,137.75816736424613,123074.77575649909
P-256,139.2304294427334,124380.15443381101
P-256,141.0672296302913,125944.87507062514
P-256,135.44219396937356,120993.27855335643
P-256,139.44141319805405,124475.08014385443
P-256,139.57323905663122,124581.3346811448
P-256,134.70989375529834,120295.49333992651
P-256,136.40960304853564,121856.79560778079
P-256,139.89324365140334,124883.73030906565
P-256,135.87491062959865,121372.0189823483
P-256,139.71778984548314,124714.26209545454
P-256,140.7707668176898,125711.31571435877
P-256,137.56950462688,122812.89995729252
P-256,138.2498648828268,123389.55517590237
P-256,135.8166437492138,121300.986886987
P-256,136.80261581522632,122178.63157345603
P-256,138.0725716888997,123383.80971945802
P-256,140.62113831301482,125555.939642303
P-256,137.96626471372966,123326.11781270745
P-256,141.8368355328963,126754.8157205395
P-256,140.2774334653638,125330.79333145017
P-256,137.86417278443486,123118.4467792546
P-256,136.46908867808554,121870.3110265845
P-256,139.95952188792492,124940.58669989761
P-256,140.40427488381533,125409.17397539118
P-256,139.08963086134455,124217.30115717201
P-256,139.81757734837717,124894.47592905647
P-256,135.79437486932426,121308.69344953795
P-256,138.11039644802423,123334.01349367724
P-256,140.54764167302835,125447.14454147383
P-256,137.56745875202756,123041.76668005112
P-256,135.71832813674658,121169.70775322891
P-256,139.51269893850176,124543.88305719597
P-256,141.3856676151502,126199.45505630723
P-256,135.73361265647753,121206.24044891328
P-256,134.0810127813102,119751.04770498273
P-256,135.64865356244977,121010.14896523577
P-256,137.05009514815737,122415.17356009183
P-256,135.55182893363747,121115.48273649746
P-256,137.97386205392172,123249.94701569596
P-256,136.39943390478783,121832.40306485948
P-256,138.33530551138887,123479.9541461478
P-256,139.22129030204093,124269.16900846484
P-256,137.60412900687697,122952.73911780704
P-256,138.83740560757113,124036.96060311032
P-256,138.66145687244529,123862.16278182992
P-256,136.96652908950472,122191.00812571448
P-256,139.143856422925,124260.2669901129
P-256,135.7453828950743,121325.42652752715
P-256,136.27174195952827,121808.7306608959
P-256,136.5075558093608,121963.41855595764
P-256,139.9476617005001,125003.33977268923
P-256,139.07146038579555,124217.33804096754
P-256,139.7823760575399,124820.09356232463
P-256,137.97407446783433,123140.57007916074
P-256,133.4793604833014,119275.02483614812
P-256,139.29776777109487,124345.56711367988
P-256,135.83536491532556,121374.50703948914
P-256,136.28887983492658,121727.81733920069
P-256,140.33686157240308,125386.53059105898
P-256,137.49903384892968,122894.31989016311
P-256,136.72483324654615,122146.3771794012
P-256,131.27858071905277,117231.72483973237
P-256,139.0047114891468,124101.9888757962
P-256,138.61597463778594,123777.11585354812
P-256,139.47212249455157,124605.27473525397
P-256,135.63121816820777,121091.44614426492
P-256,138.4779194818577,123617.00174879696
P-256,136.40347789421872,121835.08756150381
P-256,136.81170992386825,122229.05960811839
P-256,135.0560252210386,120619.12054073565
P-256,139.5009783475071,124504.47162258551
P-256,139.23153380512994,124244.15690064944
P-256,138.34570250618393,123538.66886950909
P-256,137.75367291390995,123070.50409333232
